date,open,high,low,close,volume,oscillator,phase,amplitude,phase_quadrant,signal,position,signal_strength,confidence
2015-10-02,0.6837319732,0.6911200285,0.6546049714,0.6785740256,219318,-0.28905804754,1.5718399860212617,276.9659796153903,Quadrante 4 (Discesa -> Minimo),HOLD,0,10.598981856712566,LOW
2015-10-03,0.6787829995,0.7092040181,0.6754819751,0.6871709824,163326,-0.2960790723600002,1.571965060775512,253.33321754566194,Quadrante 4 (Discesa -> Minimo),HOLD,0,9.692889844493822,LOW
2015-10-04,0.6863430142,0.6931260228,0.6607159972,0.6683790088,103497,-0.2988068982975002,1.5720342577194095,241.37612907117241,Quadrante 4 (Discesa -> Minimo),HOLD,0,9.23444904421151,LOW
2015-10-05,0.6667839885,0.6744379997,0.6244500279,0.6286429763,234263,-0.2962814718475002,1.5720817352063257,230.49604374990736,Quadrante 4 (Discesa -> Minimo),HOLD,0,8.817301087795345,LOW
2015-10-06,0.6222180128,0.6539440155,0.6062300205,0.6506450176,262674,-0.297386997935,1.5721351968633575,222.11795885827735,Quadrante 4 (Discesa -> Minimo),HOLD,0,16.991592765944016,LOW
2015-10-07,0.6505150199,0.6563010216,0.6024230123,0.6093879938,218327,-0.29398230016000004,1.5721670485817325,214.4726924478095,Quadrante 4 (Discesa -> Minimo),HOLD,0,16.40552884143809,LOW
2015-10-08,0.6095010042,0.633138001,0.5919709802,0.6217160225,310266,-0.276078447695,1.5721251408525079,207.76310075970667,Quadrante 4 (Discesa -> Minimo),HOLD,0,15.891176985589073,LOW
2015-10-09,0.6550840139,0.6922960281,0.6321160197,0.6506279707,386420,-0.2604141980325,1.5720871803721257,201.73803981153375,Quadrante 4 (Discesa -> Minimo),HOLD,0,15.429249454947835,LOW
2015-10-10,0.6411870122,0.6490219831,0.6243739724,0.6278570294,141555,-0.25323332100750007,1.572087876778985,196.0693697730591,Quadrante 4 (Discesa -> Minimo),HOLD,0,14.99458146230065,LOW
2015-10-11,0.6274610162,0.6395059824,0.6183350086,0.634962976,102128,-0.24084234833499996,1.5720570716226037,191.03184628985508,Quadrante 4 (Discesa -> Minimo),HOLD,0,14.608266593284368,LOW
2015-10-12,0.6345149875,0.6577889919,0.6260300279,0.6260300279,109567,-0.229377748065,1.5720289393981637,186.0907519041129,Quadrante 4 (Discesa -> Minimo),HOLD,0,14.229408637479558,LOW
